iter	Passed	Remaining
0	242	242630
1	292	145839
2	387	128622
3	459	114440
4	487	97060
5	576	95474
6	706	100249
7	863	107107
8	894	98468
9	964	95493
10	1010	90877
11	1060	87354
12	1089	82705
13	1144	80620
14	1253	82340
15	1287	79164
16	1422	82282
17	1500	81886
18	1579	81562
19	1626	79702
20	1673	78023
21	1705	75826
22	1728	73426
23	1752	71285
24	1818	70918
25	1844	69089
26	1864	67200
27	1950	67698
28	2024	67791
29	2071	66981
30	2110	65968
31	2178	65912
32	2253	66036
33	2281	64810
34	2350	64803
35	2370	63485
36	2422	63039
37	2491	63080
38	2559	63058
39	2585	62051
40	2645	61876
41	2669	60883
42	2708	60289
43	2755	59866
44	2825	59973
45	2858	59291
46	2881	58435
47	2930	58128
48	2999	58213
49	3064	58221
50	3092	57552
51	3165	57713
52	3237	57841
53	3257	57072
54	3287	56491
55	3306	55732
56	3376	55860
57	3453	56090
58	3517	56095
59	3589	56229
60	3658	56322
61	3733	56485
62	3764	55991
63	3802	55616
64	3821	54975
65	3857	54585
66	3923	54642
67	3990	54697
68	4063	54824
69	4129	54861
70	4170	54562
71	4236	54600
72	4307	54693
73	4329	54171
74	4394	54201
75	4455	54172
76	4480	53710
77	4519	53423
78	4595	53572
79	4669	53696
80	4738	53758
81	4759	53283
82	4791	52939
83	4865	53057
84	4953	53317
85	4976	52891
86	5050	53004
87	5127	53140
88	5200	53233
89	5256	53145
90	5280	52743
91	5310	52410
92	5382	52492
93	5447	52505
94	5532	52701
95	5618	52905
96	5690	52974
97	5713	52583
98	5785	52651
99	5809	52285
100	5879	52333
101	5947	52361
102	6017	52406
103	6043	52066
104	6063	51682
105	6116	51582
106	6189	51655
107	6261	51718
108	6294	51454
109	6371	51553
110	6422	51438
111	6502	51555
112	6578	51638
113	6656	51730
114	6680	51408
115	6778	51653
116	6852	51717
117	6945	51916
118	7056	52244
119	7087	51977
120	7118	51710
121	7148	51447
122	7212	51426
123	7264	51319
124	7278	50946
125	7346	50959
126	7396	50840
127	7460	50821
128	7495	50612
129	7519	50324
130	7580	50287
131	7623	50130
132	7644	49831
133	7714	49853
134	7762	49736
135	7791	49497
136	7818	49252
137	7877	49206
138	7942	49197
139	8027	49311
140	8078	49214
141	8145	49219
142	8213	49225
143	8259	49098
144	8281	48831
145	8327	48708
146	8368	48558
147	8390	48303
148	8472	48389
149	8573	48585
150	8611	48417
151	8643	48219
152	8733	48349
153	8796	48325
154	8911	48580
155	8991	48646
156	9018	48426
157	9059	48281
158	9139	48340
159	9171	48149
160	9242	48165
161	9319	48206
162	9334	47933
163	9386	47847
164	9413	47639
165	9500	47729
166	9608	47928
167	9722	48148
168	9752	47952
169	9840	48043
170	9917	48077
171	9956	47930
172	9985	47732
173	10066	47785
174	10144	47823
175	10168	47604
176	10216	47504
177	10263	47397
178	10332	47390
179	10381	47292
180	10419	47145
181	10455	46992
182	10520	46968
183	10547	46777
184	10583	46622
185	10609	46430
186	10675	46413
187	10747	46421
188	10817	46418
189	10873	46353
190	10899	46165
191	10967	46156
192	11001	45999
193	11030	45829
194	11096	45810
195	11163	45794
196	11245	45838
197	11311	45816
198	11378	45800
199	11450	45803
200	11549	45909
201	11666	46088
202	11763	46185
203	11795	46024
204	11907	46179
205	11923	45958
206	12002	45978
207	12046	45867
208	12128	45903
209	12221	45977
210	12266	45868
211	12367	45969
212	12476	46100
213	12564	46149
214	12582	45939
215	12620	45808
216	12674	45732
217	12710	45595
218	12796	45633
219	12820	45454
220	12857	45321
221	12967	45444
222	12995	45280
223	13102	45390
224	13137	45252
225	13223	45286
226	13304	45304
227	13325	45118
228	13428	45210
229	13466	45083
230	13584	45222
231	13623	45096
232	13747	45254
233	13787	45134
234	13914	45294
235	14011	45359
236	14055	45251
237	14144	45287
238	14268	45433
239	14387	45560
240	14500	45667
241	14627	45815
242	14673	45712
243	14789	45824
244	14911	45950
245	14933	45772
246	15023	45799
247	15114	45830
