order_id,customer_id,product_id,category,price,discount,quantity,payment_method,order_date,delivery_time_days,region,returned,total_amount,shipping_cost,profit_margin,customer_age,customer_gender,delivery_speed,discount_bucket,total_cost_ratio,order_value_segment,returned_flag,past_orders,past_returns,product_orders_cum,product_returns_cum,product_return_rate,days_since_last_order,last_return_date,days_since_last_return,returns_last3,category_return_rate,delivery_speed_bucket,discount_category,price_per_unit,customer_tenure_days,order_month,order_weekday
O104424,C17986,P210334,Grocery,15.51,0.0,1,COD,2023-09-12,6,East,No,15.51,3.92,-2.68,54,Female,6,No Discount,0.23743185947910359,Low Value,0,0,0,0,0,0.0,9999.0,,9999.0,0.0,0.013060620995564317,Slow,No Discount_Grocery,15.51,0,9,1
O111514,C14753,P227222,Fashion,99.01,0.0,1,Debit Card,2023-09-12,4,North,No,99.01,7.74,26.91,59,Male,4,No Discount,0.07739226077392261,Mid Value,0,0,0,0,0,0.0,9999.0,,9999.0,0.0,0.0828269907259354,Normal,No Discount_Fashion,99.01,0,9,1
O121362,C16175,P221392,Fashion,30.99,0.0,2,Credit Card,2023-09-12,6,East,No,61.98,6.89,14.8,42,Male,6,No Discount,0.10939980946332169,Mid Value,0,0,0,0,0,0.0,9999.0,,9999.0,0.0,0.0828269907259354,Slow,No Discount_Fashion,15.495,0,9,1
O126442,C11841,P248993,Fashion,31.75,0.0,1,UPI,2023-09-12,5,East,No,31.75,5.73,5.38,25,Male,5,No Discount,0.17496183206106872,Low Value,0,0,0,0,0,0.0,9999.0,,9999.0,0.0,0.0828269907259354,Normal,No Discount_Fashion,31.75,0,9,1
O134456,C17939,P217561,Toys,36.68,0.0,1,UPI,2023-09-12,5,South,No,36.68,6.83,7.84,25,Female,5,No Discount,0.18126326963906583,Low Value,0,0,0,0,0,0.0,9999.0,,9999.0,0.0,0.04944666823640217,Normal,No Discount_Toys,36.68,0,9,1
O115691,C16609,P223376,Home,20.15,0.05,3,Debit Card,2023-09-12,5,West,No,57.43,4.64,11.44,69,Male,5,Low Discount,0.07941126133835358,Mid Value,0,0,0,0,0,0.0,9999.0,,9999.0,0.0,0.05649717514124294,Normal,Low Discount_Home,6.716666666666666,0,9,1
O109893,C13091,P213919,Home,190.25,0.3,1,Debit Card,2023-09-12,3,Central,No,133.17,7.62,29.67,35,Male,3,High Discount,0.05679362003428487,Mid Value,0,0,0,0,0,0.0,9999.0,,9999.0,0.0,0.05649717514124294,Fast,High Discount_Home,190.25,0,9,1
O106615,C14500,P237226,Fashion,11.49,0.05,1,PayPal,2023-09-12,6,South,No,10.92,4.29,-0.47,46,Female,6,Low Discount,0.3598993288590604,Low Value,0,0,0,0,0,0.0,9999.0,,9999.0,0.0,0.0828269907259354,Slow,Low Discount_Fashion,11.49,0,9,1
O112450,C15801,P239569,Toys,10.31,0.15,1,PayPal,2023-09-12,8,South,No,8.76,3.27,0.23,30,Male,8,High Discount,0.3350409836065574,Low Value,0,0,0,0,0,0.0,9999.0,,9999.0,0.0,0.04944666823640217,Very Slow,High Discount_Toys,10.31,0,9,1
O130244,C17036,P212623,Electronics,672.53,0.0,1,Debit Card,2023-09-12,4,Central,No,672.53,10.96,69.74,36,Male,4,No Discount,0.01627247487120099,Very High,0,0,0,0,0,0.0,9999.0,,9999.0,0.0,0.07297734627831715,Normal,No Discount_Electronics,672.53,0,9,1
O116887,C17391,P237344,Fashion,234.27,0.1,1,Debit Card,2023-09-12,7,East,Yes,210.84,8.25,65.54,58,Female,7,Low Discount,0.038944486404833834,High Value,1,0,0,0,0,0.0,9999.0,,9999.0,0.0,0.0828269907259354,Slow,Low Discount_Fashion,234.27,0,9,1
O107766,C14686,P230465,Sports,242.59,0.0,1,Credit Card,2023-09-12,3,Central,No,242.59,7.92,64.86,40,Male,3,No Discount,0.032513649985631596,High Value,0,0,1,0,1,0.0,9999.0,,9999.0,0.0,0.0493886358187485,Fast,No Discount_Sports,242.59,0,9,1
O114882,C16684,P230743,Toys,13.48,0.0,1,COD,2023-09-12,4,North,No,13.48,6.31,-0.92,38,Female,4,No Discount,0.4357734806629834,Low Value,0,0,0,0,0,0.0,9999.0,,9999.0,0.0,0.04944666823640217,Normal,No Discount_Toys,13.48,0,9,1
O123766,C14367,P229910,Toys,3.31,0.05,1,Credit Card,2023-09-12,4,North,No,3.14,0.98,0.28,21,Male,4,Low Discount,0.2367149758454106,Low Value,0,0,0,0,0,0.0,9999.0,,9999.0,0.0,0.04944666823640217,Normal,Low Discount_Toys,3.31,0,9,1
O128847,C15736,P247773,Electronics,326.01,0.2,3,PayPal,2023-09-12,4,West,No,782.42,11.64,82.25,21,Female,4,High Discount,0.014857930611932298,Very High,0,0,0,0,0,0.0,9999.0,,9999.0,0.0,0.07297734627831715,Normal,High Discount_Electronics,108.67,0,9,1
O122658,C11833,P207464,Electronics,589.57,0.0,1,COD,2023-09-12,8,East,No,589.57,9.06,61.69,65,Other,8,No Discount,0.015341111129925327,Very High,0,0,0,0,0,0.0,9999.0,,9999.0,0.0,0.07297734627831715,Very Slow,No Discount_Electronics,589.57,0,9,1
O104338,C10933,P208507,Electronics,247.13,0.2,1,Credit Card,2023-09-12,5,West,No,197.7,6.99,16.73,28,Female,5,High Discount,0.03517866129843986,Mid Value,0,0,0,0,0,0.0,9999.0,,9999.0,0.0,0.07297734627831715,Normal,High Discount_Electronics,247.13,0,9,1
O110855,C13636,P218895,Home,39.01,0.0,1,PayPal,2023-09-12,7,East,No,39.01,5.9,5.02,26,Female,7,No Discount,0.1474631342164459,Low Value,0,0,0,0,0,0.0,9999.0,,9999.0,0.0,0.05649717514124294,Slow,No Discount_Home,39.01,0,9,1
O100096,C15225,P234229,Fashion,5.15,0.05,1,Credit Card,2023-09-12,5,East,No,4.89,3.77,-2.06,36,Male,5,Low Discount,0.6400679117147708,Low Value,0,0,0,0,0,0.0,9999.0,,9999.0,0.0,0.0828269907259354,Normal,Low Discount_Fashion,5.15,0,9,1
O121946,C16850,P204667,Electronics,696.96,0.0,1,PayPal,2023-09-12,4,West,No,696.96,9.91,73.73,55,Female,4,No Discount,0.014198521405238121,Very High,0,0,0,0,0,0.0,9999.0,,9999.0,0.0,0.07297734627831715,Normal,No Discount_Electronics,696.96,0,9,1
O102271,C17885,P211036,Fashion,18.07,0.0,1,UPI,2023-09-12,4,South,No,18.07,5.39,0.93,47,Male,4,No Discount,0.28264289459884634,Low Value,0,0,0,0,0,0.0,9999.0,,9999.0,0.0,0.0828269907259354,Normal,No Discount_Fashion,18.07,0,9,1
O107617,C10452,P211243,Fashion,116.54,0.0,1,COD,2023-09-12,5,East,No,116.54,6.07,34.72,29,Female,5,No Discount,0.05164199421473541,Mid Value,0,0,0,0,0,0.0,9999.0,,9999.0,0.0,0.0828269907259354,Normal,No Discount_Fashion,116.54,0,9,1
O101207,C12766,P213285,Fashion,44.56,0.0,1,Credit Card,2023-09-12,5,East,No,44.56,4.63,10.97,40,Male,5,No Discount,0.10162423178226514,Low Value,0,0,0,0,0,0.0,9999.0,,9999.0,1.0,0.0828269907259354,Normal,No Discount_Fashion,44.56,0,9,1
O125541,C14811,P230360,Home,121.16,0.05,1,Debit Card,2023-09-12,5,East,No,115.1,9.0,23.23,26,Female,5,Low Discount,0.07751937984496124,Mid Value,0,0,0,0,0,0.0,9999.0,,9999.0,0.0,0.05649717514124294,Normal,Low Discount_Home,121.16,0,9,1
O127738,C11848,P230060,Sports,233.49,0.0,1,Debit Card,2023-09-12,6,East,No,233.49,9.68,60.37,30,Female,6,No Discount,0.04128107808435327,High Value,0,0,0,0,0,0.0,9999.0,,9999.0,0.0,0.0493886358187485,Slow,No Discount_Sports,233.49,0,9,1
O118119,C14486,P249623,Electronics,230.46,0.1,1,Credit Card,2023-09-12,7,East,No,207.41,8.04,16.85,43,Female,7,Low Discount,0.03857780336836044,High Value,0,0,0,0,0,0.0,9999.0,,9999.0,0.0,0.07297734627831715,Slow,Low Discount_Electronics,230.46,0,9,1
O103242,C13267,P215646,Home,330.67,0.0,1,UPI,2023-09-12,3,Central,No,330.67,6.83,85.76,34,Female,3,No Discount,0.02059275786173003,High Value,0,0,0,0,0,0.0,9999.0,,9999.0,0.0,0.05649717514124294,Fast,No Discount_Home,330.67,0,9,1
O120587,C17312,P227791,Grocery,24.72,0.0,1,Debit Card,2023-09-12,5,North,No,24.72,4.25,-2.27,53,Male,5,No Discount,0.16524105754276827,Low Value,0,0,0,0,0,0.0,9999.0,,9999.0,1.0,0.013060620995564317,Normal,No Discount_Grocery,24.72,0,9,1
O114788,C17711,P233310,Fashion,37.92,0.0,1,PayPal,2023-09-12,5,Central,No,37.92,5.43,7.84,22,Other,5,No Discount,0.13951695786228158,Low Value,0,0,0,0,0,0.0,9999.0,,9999.0,1.0,0.0828269907259354,Normal,No Discount_Fashion,37.92,0,9,1
O107449,C10277,P243924,Fashion,49.43,0.0,1,UPI,2023-09-12,4,Central,No,49.43,7.05,10.25,64,Female,4,No Discount,0.13979773944080903,Low Value,0,0,0,0,0,0.0,9999.0,,9999.0,0.0,0.0828269907259354,Normal,No Discount_Fashion,49.43,0,9,1
O102009,C13223,P214638,Beauty,120.18,0.1,3,UPI,2023-09-12,5,North,No,324.49,9.26,136.76,18,Female,5,Low Discount,0.028449414728563088,High Value,0,0,0,0,0,0.0,9999.0,,9999.0,0.0,0.03777723616865708,Normal,Low Discount_Beauty,40.06,0,9,1
O115786,C17864,P247283,Sports,194.08,0.05,1,Debit Card,2023-09-12,5,South,No,184.38,9.35,45.96,45,Male,5,Low Discount,0.05043694033876362,Mid Value,0,0,0,0,0,0.0,9999.0,,9999.0,0.0,0.0493886358187485,Normal,Low Discount_Sports,194.08,0,9,1
O111243,C12003,P218983,Electronics,557.56,0.2,1,PayPal,2023-09-12,5,South,No,446.05,7.84,45.69,61,Female,5,High Discount,0.0175371882339783,High Value,0,0,0,0,0,0.0,9999.0,,9999.0,0.0,0.07297734627831715,Normal,High Discount_Electronics,557.56,0,9,1
